Unnamed: 0,track_id,track,artist,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,era
22,7aXuop4Qambx5Oi3ynsKQr,I Don't Mind (feat. Juicy J),Usher,251989,69,0.87,0.4639999999999999,E,-8.337,major,0.178,0.205,0.0,0.0902,0.457,112.974,TIKTOK DANCE,10s
23,0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,231400,80,0.918,0.609,A# / Bb,-5.64,minor,0.0791,0.0928,0.0,0.139,0.304,128.00799999999998,TIKTOK DANCE,00s
24,748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),Doja Cat,208866,98,0.762,0.701,G# / Ab,-3.5410000000000004,major,0.0286,0.235,0.000158,0.123,0.742,110.968,TIKTOK DANCE,20s
29,5mVeslUjgyVDBUB0bPJr6R,Close up,Prophet the Artist,147382,50,0.7390000000000001,0.685,C,-10.203,minor,0.318,0.353,9.41e-05,0.144,0.598,127.988,TIKTOK DANCE,20s
31,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,198370,92,0.449,0.465,C,-8.964,major,0.0791,0.524,1.02e-06,0.303,0.5429999999999999,89.087,TIKTOK DANCE,20s
35,6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,215506,88,0.442,0.612,D,-7.222,major,0.1119999999999999,0.584,5.7000000000000005e-06,0.37,0.178,180.917,TIKTOK DANCE,20s
36,5hTpBe8h35rJ67eAWHQsJx,Caroline,Aminé,209640,78,0.94,0.335,F,-10.179,minor,0.505,0.17,0.0,0.262,0.7070000000000001,120.04,TIKTOK DANCE,10s
38,3jagJCUbdqhDSPuxP8cAqF,Work It,Missy Elliott,263226,71,0.884,0.677,C# / Db,-5.603,major,0.283,0.0778,0.0,0.0732,0.584,101.868,TIKTOK DANCE,00s
39,5B0kei3VVWCH7752PfDQsQ,Rich Boy Trap,Daz Payne,166956,42,0.7759999999999999,0.584,C# / Db,-10.606,major,0.0873,0.142,6.659999999999999e-05,0.103,0.295,138.031,TIKTOK DANCE,20s
40,3dFwpxh2yH7C7p9BGEKLVB,Goodies (feat. Petey Pablo),Ciara,223000,68,0.826,0.647,F,-6.306,minor,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,TIKTOK DANCE,00s
41,7MC4XR9M9amdmKQr2iDF7i,Iko Iko (My Bestie),Justin Wellington,182857,81,0.862,0.753,F,-5.356,major,0.0625,0.131,2.01e-06,0.077,0.8270000000000001,105.039,TIKTOK DANCE,10s
42,1Bhm5HNO1cq8olDbBmokyL,Copines,Aya Nakamura,171720,80,0.701,0.787,G# / Ab,-3.941,minor,0.0855,0.27,0.0,0.105,0.904,180.02700000000002,TIKTOK DANCE,10s
44,5f7F8ovtEmFzOdyN5fTOKl,San Andreas Theme Song,Young Maylay,86546,65,0.52,0.836,F,-7.13,minor,0.213,0.0164,0.0,0.19,0.486,96.855,TIKTOK DANCE,00s
45,3EjqEynisw490QVoUDSl8p,OUT out,AP3,214163,41,0.8420000000000001,0.7190000000000001,E,-8.075,minor,0.107,0.16,4.02e-06,0.122,0.8,130.007,TIKTOK DANCE,20s
46,5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),Ariana Grande,167989,82,0.789,0.742,A# / Bb,-5.664,minor,0.0652,0.0681,0.0,0.166,0.6609999999999999,116.965,TIKTOK DANCE,20s
50,7lozLnUfzcgEpMMVQI7yhA,Why,Bazzi,148259,72,0.6759999999999999,0.67,G# / Ab,-6.584,major,0.0374,0.353,0.0,0.103,0.54,113.01,TIKTOK DANCE,10s
51,66vs64VphiHrtFcLR6Qeav,Talkin' Bout (feat. Saweetie),Loui,126225,71,0.885,0.466,C# / Db,-6.127999999999999,major,0.282,0.0396,0.0,0.127,0.272,75.014,TIKTOK DANCE,20s
54,62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),Pitbull,227280,75,0.67,0.855,C,-3.035,minor,0.0499,0.0124,0.0,0.335,0.648,120.05,TIKTOK DANCE,10s
55,2BKyXCkxhZRGwREqZacJ9M,She Make It Clap,Soulja Boy,111621,61,0.938,0.4629999999999999,C# / Db,-13.124,major,0.479,0.035,0.00652,0.1,0.46,119.878,TIKTOK DANCE,20s
65,5hjn1xQQvOXD85j83j7lRr,Aya,WilliamGregory,179400,35,0.708,0.823,B,-5.261,minor,0.0508,0.0452,0.000256,0.133,0.1689999999999999,100.055,TIKTOK DANCE,20s
66,2HYvkdq6lpFXkVz9Tfqi8r,Big Gangsta,Kevin Gates,243462,79,0.879,0.574,A# / Bb,-5.602,minor,0.391,0.519,8.76e-06,0.144,0.346,144.911,TIKTOK DANCE,10s
69,1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,156944,89,0.868,0.795,B,-6.044,major,0.2689999999999999,0.0012,0.0193,0.0461,0.8190000000000001,166.0,TIKTOK DANCE,20s
73,2169IKAivSUUFGcedGASXc,16 Shots,Stefflon Don,224727,72,0.684,0.79,D# / Eb,-4.871,minor,0.0735,0.0271,0.000371,0.0854,0.5489999999999999,95.083,TIKTOK DANCE,10s
75,6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,251240,83,0.7879999999999999,0.8440000000000001,D,-3.131,major,0.0334,0.25,0.000678,0.0723,0.382,113.324,TIKTOK DANCE,00s
77,5OiLJ8tjUPFiPX2gVM8fxJ,Imma Be,Black Eyed Peas,257560,68,0.597,0.517,C,-6.962999999999999,major,0.365,0.179,0.0,0.307,0.412,92.035,TIKTOK DANCE,00s
79,0ZquDRUoxvC4QXHlBfRePZ,Alo Michael - rico rico rico rico,Los Dioses Del Ritmo,186460,35,0.853,0.667,A,-10.255999999999998,major,0.0823,0.265,0.0003819999999999,0.0819999999999999,0.919,115.992,TIKTOK DANCE,20s
80,4iSWQ5Eadn5tZvvG9XNzYN,You're Perfect,Charly Black,196973,69,0.8170000000000001,0.855,G,-3.282,minor,0.244,0.318,0.0,0.0517,0.7829999999999999,104.909,TIKTOK DANCE,10s
82,5JTLOTRT5W79DqlBdQuANa,Birthday,Slapaholics,171040,35,0.688,0.862,C# / Db,-7.896,major,0.257,0.0377,0.000269,0.0746,0.417,77.514,TIKTOK DANCE,20s
83,264XhF2zW8Uc6sxTDLid13,Intenso boom boom ( Acompanha o Grave ),Dj Guuga,120061,66,0.8640000000000001,0.939,F# / Gb,-1.122,minor,0.185,0.312,0.71,0.1689999999999999,0.373,79.454,TIKTOK DANCE,10s
85,0uxSUdBrJy9Un0EYoBowng,20 Min,Lil Uzi Vert,220586,82,0.773,0.75,G# / Ab,-4.009,minor,0.1169999999999999,0.109,0.0,0.174,0.7829999999999999,123.426,TIKTOK DANCE,10s
87,611p4K8eh3YlDLVKIwvNcE,Razor Blade Flow,Mak Sauce,151848,42,0.8640000000000001,0.755,F# / Gb,-5.372999999999999,minor,0.368,0.00263,4.79e-05,0.583,0.685,84.044,TIKTOK DANCE,20s
88,48QmG1dfvMuYLxMPt7KSRA,No Lie,Sean Paul,221176,79,0.742,0.882,G,-2.862,major,0.1169999999999999,0.0466,0.0,0.206,0.4629999999999999,102.04,TIKTOK DANCE,10s
89,4AcScHuxr9xAqqyxxTMAhu,Best I Ever Had,Drake,257680,45,0.441,0.929,F,-2.199,minor,0.337,0.203,0.0,0.165,0.546,162.395,TIKTOK DANCE,10s
90,4f3QKTht7dd8Uj9Yjg6AKa,ANXIOUS,Josh A,175003,63,0.6809999999999999,0.621,B,-6.48,major,0.0607,0.291,0.0,0.113,0.421,84.007,TIKTOK DANCE,20s
91,1xMvdOFQaql3EBkHmuh2TK,Batman,LPB Poody,156431,77,0.893,0.565,C# / Db,-4.74,major,0.268,0.0754,0.0,0.0375,0.8079999999999999,81.009,TIKTOK DANCE,20s
96,6nQYJuqhIW2zKWAv1rZPM6,Kiss (Never Let Me Go),Thyro,259120,68,0.618,0.652,C,-2.971,major,0.0313,0.0711,0.0,0.216,0.507,139.90200000000002,TIKTOK DANCE,10s
97,6FuGJB290AQMAHTfjOYVaK,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,192745,80,0.721,0.745,G,-3.508,minor,0.0366,0.151,1.24e-06,0.372,0.6990000000000001,90.988,TIKTOK DANCE,20s
98,1eDyjPYw65g3wvQ7xJLF5c,BOO!,Championxiii,133565,63,0.974,0.157,D,-14.201,major,0.375,0.039,0.0,0.2789999999999999,0.522,115.023,TIKTOK DANCE,20s
100,5GRf6zSrCi8gErdN6CyRJT,Tokyo,Leat'eq,174117,65,0.743,0.879,F,-2.717,minor,0.0339,0.0725,0.00141,0.081,0.636,101.966,TIKTOK DANCE,10s
101,6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,Ritt Momney,210463,85,0.3989999999999999,0.491,F# / Gb,-10.778,minor,0.0538,0.0563,0.00089,0.11,0.151,91.066,TIKTOK DANCE,20s
106,28F681WO9EDUPuq76tckbc,Jackpot,Chuku100,167680,29,0.96,0.73,A,-4.511,major,0.132,0.0739,0.0,0.0609,0.768,103.006,TIKTOK DANCE,20s
107,3LUSxUzJ7wD8N0SeVRLkcR,In A Club,Volac,180880,63,0.8059999999999999,0.861,G,-7.0,major,0.0491,0.0321,0.696,0.155,0.9,123.025,TIKTOK DANCE,10s
109,6w1DBbA8akxHPiBQ6nAyJq,I'm a Flirt Remix (feat. T.I. & T-Pain),R. Kelly,330600,62,0.835,0.5710000000000001,G# / Ab,-4.771,minor,0.102,0.0716,0.0,0.0604,0.902,138.03799999999998,TIKTOK DANCE,10s
110,0u4htORODiTK9vHVA89MQX,Lovefool,The Cardigans,193893,67,0.64,0.602,A,-7.902,major,0.0299,0.0646,0.0,0.375,0.951,111.87,TIKTOK DANCE,90s
111,25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),Young Thug,215306,73,0.8420000000000001,0.597,D,-6.336,major,0.0627,0.00252,0.0,0.124,0.298,145.99200000000002,TIKTOK DANCE,10s
116,4D0Byc3cOz9ywxlo78K3qr,Lotus Flower Bomb (feat. Miguel),Wale,213253,59,0.512,0.598,A,-4.959,minor,0.115,0.611,0.0,0.0881,0.345,70.189,TIKTOK DANCE,10s
117,161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,217866,86,0.523,0.606,C# / Db,-4.754,minor,0.0301,0.512,0.0,0.106,0.065,145.83700000000002,TIKTOK DANCE,10s
119,1jbLkcfE9VrWI3wCZaZU61,Bunx Up,DeeWunn,215700,49,0.947,0.805,B,-4.192,minor,0.296,0.008,0.0,0.0805,0.637,99.998,TIKTOK DANCE,10s
120,3FxPbp05KjMBa4HbhAJTH0,SugarCrash!,ElyOtto,80117,64,0.745,0.74,C,-6.558,major,0.0969999999999999,0.53,7.37e-05,0.0936,0.36,97.735,TIKTOK DANCE,20s
123,5IZc3KIVFhjzJ0L2kiXzUl,Promise (feat. Fetty Wap),Kid Ink,224240,66,0.797,0.469,G# / Ab,-8.112,major,0.0646,0.0599,0.0,0.0753,0.481,103.057,TIKTOK DANCE,10s
124,6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,196813,80,0.6990000000000001,0.882,E,-3.896,minor,0.0311,0.00296,0.0544,0.13,0.657,120.016,TIKTOK DANCE,10s
127,3ERrX3hRQKZSN0fLFqpFU4,Rebel,Zum,135882,43,0.815,0.76,G,-4.955,minor,0.129,0.649,0.0,0.312,0.868,101.937,TIKTOK DANCE,20s
128,07MW63ok3ptSKwaTWEN0o8,Weak,Larissa Lambert,159375,77,0.617,0.451,G,-9.323,major,0.0584,0.627,0.0,0.267,0.487,127.923,TIKTOK DANCE,20s
129,6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),JACKBOYS,157712,83,0.802,0.591,G# / Ab,-4.895,major,0.225,0.0104,0.0,0.196,0.309,139.864,TIKTOK DANCE,10s
138,3qGHAKgjQruzj6doKkyEb5,Unlock it (Lock It) - feat. Kim Petras and Jay Park,Charli XCX,232933,76,0.504,0.711,A,-5.864,major,0.0452,0.0585,1.83e-05,0.382,0.5,134.82399999999998,TIKTOK DANCE,10s
140,3AMxuq6id3YGB57eWeheZQ,Don't Rush (feat. DaBaby),Young T & Bugsey,201960,74,0.959,0.508,D,-7.857,major,0.257,0.144,9.82e-05,0.136,0.346,107.998,TIKTOK DANCE,20s
143,5icmcf9CRY4UTOWyOg8EeN,JOTARO! - TheRedW Mix,Jae Trill,145000,57,0.611,0.603,D,-9.919,major,0.046,0.142,0.0,0.253,0.36,162.941,TIKTOK DANCE,20s
144,2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,Sevyn Streeter,281080,71,0.657,0.574,C# / Db,-9.484,minor,0.0407,0.016,8.1e-05,0.172,0.211,119.992,TIKTOK DANCE,10s
148,5JDjxO6F0RrLkzAdIOG6P3,Frikitona,Plan B,183182,61,0.947,0.8740000000000001,D,-3.813,minor,0.176,0.316,0.0,0.372,0.835,120.063,TIKTOK DANCE,10s
150,5ofHoV0ywhsZUOArK1Oa1h,Say It Right,Mangoo,133724,60,0.7020000000000001,0.934,G# / Ab,-4.051,major,0.261,0.0126,0.0,0.153,0.472,124.013,TIKTOK DANCE,20s
151,3YzhsBh8BRGxbMThPC3Ibw,Nesesari (feat. Philkeyz),Kizz Daniel,178000,74,0.774,0.802,F,-5.482,minor,0.123,0.3279999999999999,2.7000000000000004e-06,0.0666,0.95,110.793,TIKTOK DANCE,10s
152,3EikYy40GMSp8l5mDV6IQo,Foot Fungus,Ski Mask The Slump God,129546,76,0.8809999999999999,0.623,C# / Db,-9.662,major,0.119,0.257,1.5e-06,0.0964,0.745,88.95299999999999,TIKTOK DANCE,10s
158,463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),Dua Lipa,203064,92,0.7020000000000001,0.825,F# / Gb,-3.787,minor,0.0601,0.00883,0.0,0.0674,0.915,102.977,TIKTOK DANCE,20s
160,4tAru66VGVLWYjg90UV4vJ,Culo,Lil Jon,219080,59,0.858,0.6559999999999999,F# / Gb,-4.96,minor,0.358,0.114,0.0,0.141,0.969,59.972,TIKTOK DANCE,00s
161,3lE1yzylf23tnA2vG2tfkr,Astronaut In the Ocean,Masked Wolf,132780,45,0.778,0.695,E,-6.865,minor,0.0913,0.175,0.0,0.15,0.472,149.996,TIKTOK DANCE,20s
162,5HkFTCxSeJ3kGNyQJbT4rJ,Another One Bites The Dust,Queen,215933,55,0.922,0.392,F,-12.083,minor,0.122,0.0444,0.165,0.123,0.7709999999999999,109.878,TIKTOK DANCE,80s
164,0t9KaG8J2G1e7867jijYHR,Let Me Blow Ya Mind,Eve,230133,38,0.908,0.557,G# / Ab,-4.243,minor,0.107,0.242,0.0,0.0709,0.897,90.03200000000001,TIKTOK DANCE,10s
165,1YLulCkIocAKDTPFths9at,Renai Circulation (English Cover) [TV Size],Lizz Robinett,91066,68,0.8959999999999999,0.555,E,-12.145,major,0.085,0.252,0.0143,0.109,0.772,120.013,TIKTOK DANCE,20s
166,3dI59jLoFMjMAyUAyRZnkE,BANG BANG BANG,BIGBANG,220177,69,0.69,0.843,C# / Db,-2.949,major,0.0534,0.0167,0.0,0.346,0.428,135.01,TIKTOK DANCE,10s
167,5xt3OoGk8PdLImcxbQjiqD,Officially Missing You - Midi Mafia Mix aka Radio Main,Tamia,204146,57,0.733,0.605,D,-11.012,major,0.0836,0.0618,0.0366,0.251,0.9,104.97,TIKTOK DANCE,00s
168,6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,Kendrick Lamar,213400,79,0.8,0.585,A# / Bb,-7.343,major,0.0924,0.264,0.0,0.153,0.779,126.058,TIKTOK DANCE,10s
173,7AzlLxHn24DxjgQX73F9fU,No Idea,Don Toliver,154424,81,0.652,0.631,F# / Gb,-5.718,minor,0.0893,0.524,0.000579,0.165,0.35,127.998,TIKTOK DANCE,20s
177,4g7ErSF4oImNnITtyiFowz,What You Know Bout Love,Pop Smoke,160000,53,0.4539999999999999,0.563,F,-8.495,minor,0.421,0.643,4.57e-06,0.135,0.561,81.918,TIKTOK DANCE,20s
182,5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),Beyoncé,193213,69,0.426,0.584,C# / Db,-5.292999999999999,major,0.296,0.0383,0.0,0.188,0.272,193.437,TIKTOK DANCE,00s
183,61LtVmmkGr8P9I2tSPvdpf,Teach Me How to Dougie,Cali Swag District,237480,69,0.846,0.4379999999999999,B,-4.981,major,0.141,0.2,9.43e-05,0.0939,0.512,85.01299999999999,TIKTOK DANCE,10s
187,0PJIbOdMs3bd5AT8liULMQ,oui,Jeremih,238320,76,0.418,0.7240000000000001,F,-3.724,major,0.0964,0.213,0.0,0.1119999999999999,0.604,78.521,TIKTOK DANCE,10s
191,3jRHehB5ulTMKfK5WaqDqc,What’s New,Megan Thee Stallion,155090,77,0.934,0.873,C# / Db,-4.707,major,0.309,0.00488,0.0,0.0832,0.721,139.997,TIKTOK DANCE,20s
193,27uj8wY486yzDkm45hue1e,#Twerkit,Busta Rhymes,231320,53,0.67,0.916,F# / Gb,-4.343999999999999,minor,0.439,0.159,4.39e-06,0.417,0.6559999999999999,149.405,TIKTOK DANCE,10s
196,0gRHMoKnlm3FHL2YrwfE3w,Shhh (Pew Pew),Young Fanatic,113911,61,0.821,0.614,E,-6.956,minor,0.3279999999999999,0.106,0.00144,0.0929,0.518,170.174,TIKTOK DANCE,10s
200,1bqznRnSH33ByJEFd3pH1i,my neck el pasecito challenge,Dj Jac,165070,44,0.794,0.753,A# / Bb,-5.942,minor,0.0457,0.00153,0.594,0.0532,0.68,101.977,TIKTOK DANCE,20s
201,1KVQBPyORdhfITlixROtvC,Be Happy,Dixie,198965,69,0.722,0.6579999999999999,C,-4.94,major,0.119,0.208,0.0,0.249,0.5920000000000001,87.00399999999999,TIKTOK DANCE,20s
202,6xHkSGuXlxyDeqnlYe5Ryv,Hay Que Bueno,KD One,160679,65,0.901,0.8079999999999999,B,-3.233,major,0.0855,0.244,0.00829,0.46,0.898,123.995,TIKTOK DANCE,10s
203,11ZulcYY4lowvcQm4oe3VJ,Slumber Party (feat. Princess Nokia),Ashnikko,178404,86,0.964,0.3979999999999999,B,-8.981,minor,0.0795,0.00151,3.9500000000000005e-05,0.1009999999999999,0.563,105.012,TIKTOK DANCE,20s
206,4It00tEYLwpjQtAhqnjCPC,Beez In The Trap,Nicki Minaj,268493,63,0.813,0.782,A,-6.005,major,0.218,0.0227,0.00165,0.0956,0.6809999999999999,150.003,TIKTOK DANCE,10s
209,6qnM0XXPZOINWA778uNqQ9,Welcome To New York,Taylor Swift,212600,61,0.7929999999999999,0.634,G,-4.807,major,0.0324,0.038,1.76e-06,0.304,0.615,117.023,TIKTOK DANCE,10s
210,1VpKOZ6nnap41hh5CbY8gJ,Obsessed,Addison Rae,134087,72,0.884,0.665,B,-7.928999999999999,major,0.0646,0.38,9.36e-06,0.111,0.472,110.016,TIKTOK DANCE,20s
211,4NYwy0R3NdvORX2B6OZXBT,Slow Motion,Trey Songz,197854,72,0.733,0.408,G,-7.834,minor,0.0388,0.679,3.92e-05,0.11,0.291,94.947,TIKTOK DANCE,10s
212,1tKCb71yqfWYGLckiNDEtJ,Beat It,Pateezy,161378,42,0.897,0.6629999999999999,C# / Db,-6.893,major,0.299,0.0201,0.0,0.226,0.6559999999999999,89.23299999999999,TIKTOK DANCE,20s
213,5XMhppJhtgjkd2SYDklhR9,For Me,CHASE B,202410,68,0.904,0.498,D,-7.86,major,0.324,0.00919,0.0,0.0791,0.145,132.99200000000002,TIKTOK DANCE,20s
215,4nZhS4vsnO50wnSyMJraBj,Upside Down (feat. Charlie Puth),JVKE,116000,59,0.816,0.444,D,-9.635,major,0.0546,0.284,0.0243,0.225,0.5660000000000001,120.022,TIKTOK DANCE,20s
216,7k6IzwMGpxnRghE7YosnXT,Me & U,Cassie,192213,73,0.8029999999999999,0.4539999999999999,G# / Ab,-4.802,minor,0.0294,0.352,0.0,0.0655,0.7390000000000001,99.99,TIKTOK DANCE,00s
217,2dl5K2ScW7jYhAhuem06cm,PROBLEMA,Daddy Yankee,184506,84,0.773,0.8,A# / Bb,-3.17,minor,0.0987,0.0613,0.00403,0.0327,0.8420000000000001,89.988,TIKTOK DANCE,20s
218,5BtN3kFKoISSWFpXWz7O4L,OG Bobby Johnson,QUE.,199432,54,0.943,0.949,C# / Db,-4.22,major,0.222,0.0362,0.0,0.417,0.701,110.984,TIKTOK DANCE,10s
219,6AdLyvisRKHLAwARaZMGr6,Take You There,Sean Kingston,236693,61,0.752,0.921,F,-4.321000000000001,minor,0.0696,0.0182,0.0,0.256,0.634,115.033,TIKTOK DANCE,00s
221,66vFlr5V4khlxqc1y3a8OX,De Yang Gatal Gatal Sa - DJ DESA Remix,Aldo Bz,342749,55,0.931,0.94,C,-3.591,minor,0.0533,0.203,0.402,0.376,0.784,132.986,TIKTOK DANCE,20s
223,2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,157605,86,0.88,0.7509999999999999,G,-4.258,minor,0.0874,0.177,6.43e-05,0.106,0.884,117.948,TIKTOK DANCE,10s
227,0BlMpKkDLOFPV78CubL8nn,Ke cap gap ba gia TikTok - Dj Tiktokker Remix,PiuPiu,194954,45,0.875,0.677,D# / Eb,-3.4410000000000003,minor,0.0467,0.0385,0.615,0.331,0.799,128.018,TIKTOK DANCE,20s
228,4u8IPU322yG7mNrqv89GGL,Hey Sexy Lady,Shaggy,199893,64,0.957,0.5539999999999999,D# / Eb,-6.617999999999999,minor,0.067,0.0052,0.00185,0.249,0.64,101.783,TIKTOK DANCE,00s
229,4qBMiRsJjtm1WR4KyAQqrX,Oh No,Kreepa,166504,66,0.541,0.527,B,-7.438,minor,0.147,0.00279,0.000509,0.286,0.429,176.123,TIKTOK DANCE,10s
232,3cNKhoBUhyuXhQTdQjOiT8,Loco,Anitta,157323,69,0.8059999999999999,0.67,G,-4.194,major,0.0491,0.00624,0.17,0.119,0.366,103.96,TIKTOK DANCE,20s
233,1yLTcitjbEJr7a4jyDB0Lz,So Pretty,Reyanna Maria,85741,71,0.799,0.5429999999999999,A# / Bb,-6.093999999999999,minor,0.24,0.0512,0.0425,0.134,0.25,187.906,TIKTOK DANCE,20s
237,1EUXDG92IvGineenvVwpQk,Tamo Loco To,Mark B.,96954,58,0.855,0.769,A# / Bb,-7.758999999999999,minor,0.0804,0.0374,0.000519,0.039,0.6409999999999999,109.982,TIKTOK DANCE,20s
238,78xj07VVFK5uHTaGPIu13S,Buss It,Erica Banks,187000,68,0.956,0.502,A,-5.995,major,0.213,0.0593,0.0,0.238,0.795,110.003,TIKTOK DANCE,20s
242,2Lm41VRnYjEK5ElbuQ9AA7,Friendships (Lost My Love) - ATB Remix,Pascal Letoublon,204374,57,0.6559999999999999,0.904,B,-4.488,minor,0.0425,0.298,0.000155,0.11,0.243,128.007,TIKTOK DANCE,20s
243,0qOnSQQF0yzuPWsXrQ9paz,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,210960,83,0.6459999999999999,0.795,A,-3.293,major,0.0976,0.0319,0.0,0.267,0.7959999999999999,89.99,TIKTOK DANCE,10s
244,1AmWzcqo2xlGWCw0BGUWGp,Va Va Vroom Vroom - Remix,Eduardo Luzquiños,97206,63,0.868,0.3289999999999999,D,-8.566,major,0.214,0.2339999999999999,0.016,0.336,0.928,103.02,TIKTOK DANCE,20s
246,47aQT2aV12TyilaoYi1NiD,Promiscuous,Nelly Furtado,242200,69,0.795,0.978,A# / Bb,-6.097,minor,0.0459,0.046,8.290000000000001e-05,0.143,0.843,114.321,TIKTOK DANCE,00s
248,4pv60fltAu4wR3EWw8AEeQ,Prrrum - Remix 2,Cosculluela,225924,43,0.7120000000000001,0.684,F,-5.013999999999999,minor,0.293,0.127,0.0,0.35,0.83,180.106,TIKTOK DANCE,10s
249,08ia51KbTcfs4QVT5lAyBQ,LSD,TisaKorean,124455,47,0.61,0.505,C# / Db,-7.682,major,0.429,0.013,0.0,0.364,0.615,163.84799999999998,TIKTOK DANCE,10s
